league,team,season,Player_Name,Position,Age,Annual_Salary_GBP,Weekly_Salary_GBP
epl,chelsea-fc,2019,Andreas Christensen,D,23,4160000,80000
epl,chelsea-fc,2019,Antonio Rüdiger,D,26,5200000,100000
epl,chelsea-fc,2019,Billy Gilmour,M,18,2250000,43269
epl,chelsea-fc,2019,Callum Hudson-Odoi,F,19,6240000,120000
epl,chelsea-fc,2019,Cesar Azpilicueta,D,30,7540000,145000
epl,chelsea-fc,2019,Charly Musonda,M,23,550000,10577
epl,chelsea-fc,2019,Christian Pulisic,F,21,8250000,158654
epl,chelsea-fc,2019,Emerson Palmieri,D,25,3900000,75000
epl,chelsea-fc,2019,Fikayo Tomori,D,21,750000,14423
epl,chelsea-fc,2019,Isaiah Brown,F,22,1300000,25000
epl,chelsea-fc,2019,Jorginho,M,27,5720000,110000
epl,chelsea-fc,2019,Kepa Arrizabalaga,GK,25,7800000,150000
epl,chelsea-fc,2019,Kurt Zouma,D,25,2080000,40000
epl,chelsea-fc,2019,Marco van Ginkel,M,27,2750000,52885
epl,chelsea-fc,2019,Marcos Alonso,D,28,5200000,100000
epl,chelsea-fc,2019,Mason Mount,M,20,4600000,88462
epl,chelsea-fc,2019,Mateo Kovacic,M,25,5200000,100000
epl,chelsea-fc,2019,Michy Batshuayi,F,26,4680000,90000
epl,chelsea-fc,2019,"N'Golo Kanté",M,28,7500000,144231
epl,chelsea-fc,2019,Olivier Giroud,F,33,5720000,110000
epl,chelsea-fc,2019,Pedro,M,32,3000000,57692
epl,chelsea-fc,2019,Reece James,D,20,2600000,50000
epl,chelsea-fc,2019,Ross Barkley,M,26,5000000,96154
epl,chelsea-fc,2019,Ruben Loftus-Cheek,F,23,1560000,30000
epl,chelsea-fc,2019,Tammy Abraham,F,22,3000000,57692
epl,chelsea-fc,2019,Tiemoué Bakayoko,M,25,5720000,110000
epl,chelsea-fc,2019,Willian,M,31,7200000,138462
epl,chelsea-fc,2019,Willy Caballero,GK,38,1820000,35000
