league,team,season,Player_Name,Position,Age,Annual_Salary_GBP,Weekly_Salary_GBP
epl,afc-bournemouth,2018,Asmir Begovic,GK,31,3640000,70000
epl,afc-bournemouth,2018,Jefferson Lerma,M,24,2600000,50000
epl,afc-bournemouth,2018,Joshua King,F,26,2340000,45000
epl,afc-bournemouth,2018,Nathan Aké,D,23,2080000,40000
epl,afc-bournemouth,2018,Steve Cook,D,27,2340000,45000
epl,arsenal-fc,2018,Aaron Ramsey,M,27,6240000,120000
epl,arsenal-fc,2018,Ainsley Maitland-Niles,M,21,1820000,35000
epl,arsenal-fc,2018,Alex Iwobi,F,22,2600000,50000
epl,arsenal-fc,2018,Alexandre Lacazette,F,27,9467273,182063
epl,arsenal-fc,2018,Bernd Leno,GK,26,5200000,100000
epl,arsenal-fc,2018,Carl Jenkinson,D,26,2340000,45000
epl,arsenal-fc,2018,Danny Welbeck,F,28,6500000,125000
epl,arsenal-fc,2018,Emiliano Martinez,GK,26,1040000,20000
epl,arsenal-fc,2018,Granit Xhaka,M,26,5200000,100000
epl,arsenal-fc,2018,Héctor Bellerín,D,23,5720000,110000
epl,arsenal-fc,2018,Henrikh Mkhitaryan,M,29,9360000,180000
epl,arsenal-fc,2018,Konstantinos Mavropanos,D,21,1300000,25000
epl,arsenal-fc,2018,Laurent Koscielny,D,33,4680000,90000
epl,arsenal-fc,2018,Lucas Torreira,M,22,3900000,75000
epl,arsenal-fc,2018,Matteo Guendouzi,M,19,2080000,40000
epl,arsenal-fc,2018,Mesut Özil,M,30,18200000,350000
epl,arsenal-fc,2018,Mohamed Elneny,M,26,2600000,50000
epl,arsenal-fc,2018,Nacho Monreal,D,32,3640000,70000
epl,arsenal-fc,2018,Petr Cech,GK,36,5720000,110000
epl,arsenal-fc,2018,Pierre-Emerick Aubameyang,F,29,10400000,200000
epl,arsenal-fc,2018,Reiss Nelson,M,19,780000,15000
epl,arsenal-fc,2018,Rob Holding,D,23,1300000,25000
epl,arsenal-fc,2018,Sead Kolasinac,D,25,5200000,100000
epl,arsenal-fc,2018,Shkodran Mustafi,D,26,4680000,90000
epl,arsenal-fc,2018,Sokratis Papastathopoulos,D,30,4784000,92000
epl,arsenal-fc,2018,Stephan Lichtsteiner,D,34,3900000,75000
epl,aston-villa-fc,2018,Ahmed Elmohamady,M,31,1300000,25000
epl,aston-villa-fc,2018,Andre Green,F,20,312000,6000
epl,aston-villa-fc,2018,Henri Lansbury,M,28,2080000,40000
epl,aston-villa-fc,2018,Jack Grealish,M,23,1820000,35000
epl,aston-villa-fc,2018,James Bree,D,21,520000,10000
epl,aston-villa-fc,2018,James Chester,D,29,1560000,30000
epl,aston-villa-fc,2018,Jonathan Kodjia,F,29,1820000,35000
epl,aston-villa-fc,2018,Keinan Davis,F,20,260000,5000
epl,aston-villa-fc,2018,Neil Taylor,D,29,1664000,32000
epl,aston-villa-fc,2018,Orjan Nyland,GK,28,1040000,20000
epl,brighton-hove-albion,2018,Alireza Jahanbakhsh,F,25,2600000,50000
epl,brighton-hove-albion,2018,Anthony Knockaert,F,27,1820000,35000
epl,brighton-hove-albion,2018,Biram Kayal,M,30,1300000,25000
epl,brighton-hove-albion,2018,Bernardo,M,23,1300000,25000
epl,brighton-hove-albion,2018,Dale Stephens,M,29,1560000,30000
epl,brighton-hove-albion,2018,David Button,GK,29,833333,16026
epl,brighton-hove-albion,2018,Davy Pröpper,M,27,2340000,45000
