league,team,season,Player_Name,Position,Age,Annual_Salary_GBP,Weekly_Salary_GBP
epl,liverpool-fc,2019,Adam Lallana,M,31,5720000,110000
epl,liverpool-fc,2019,Adrian San Miguel del Castillo,GK,32,1600000,30769
epl,liverpool-fc,2019,Alex Oxlade-Chamberlain,M,26,6240000,120000
epl,liverpool-fc,2019,Alisson,GK,27,4680000,90000
epl,liverpool-fc,2019,Andrew Robertson,D,25,2600000,50000
epl,liverpool-fc,2019,Dejan Lovren,D,30,5200000,100000
epl,liverpool-fc,2019,Divock Origi,F,24,2574000,49500
epl,liverpool-fc,2019,Fabinho,M,26,5200000,100000
epl,liverpool-fc,2019,Georginio Wijnaldum,M,29,3900000,75000
epl,liverpool-fc,2019,James Milner,M,33,7280000,140000
epl,liverpool-fc,2019,Joe Gomez,D,22,1456000,28000
epl,liverpool-fc,2019,Joel Matip,D,28,5200000,100000
epl,liverpool-fc,2019,Jordan Henderson,M,29,7280000,140000
epl,liverpool-fc,2019,Loris Karius,GK,26,1300000,25000
epl,liverpool-fc,2019,Mohamed Salah,F,27,10400000,200000
epl,liverpool-fc,2019,Naby Keïta,M,24,6240000,120000
epl,liverpool-fc,2019,Nathaniel Clyne,D,28,3640000,70000
epl,liverpool-fc,2019,Rhian Brewster,F,19,520000,10000
epl,liverpool-fc,2019,Roberto Firmino,F,28,9360000,180000
epl,liverpool-fc,2019,Sadio Mané,F,27,5200000,100000
epl,liverpool-fc,2019,Takumi Minamino,F,24,3900000,75000
epl,liverpool-fc,2019,Trent Alexander-Arnold,D,21,2080000,40000
epl,liverpool-fc,2019,Virgil van Dijk,D,28,9360000,180000
epl,liverpool-fc,2019,Xherdan Shaqiri,M,28,4160000,80000
