league,team,season,Player_Name,Position,Age,Annual_Salary_GBP,Weekly_Salary_GBP
epl,manchester-united-fc,2019,Aaron Wan-Bissaka,D,22,4680000,90000
epl,manchester-united-fc,2019,Andreas Pereira,M,23,1560000,30000
epl,manchester-united-fc,2019,Anthony Martial,F,24,13000000,250000
epl,manchester-united-fc,2019,Axel Tuanzebe,D,22,2600000,50000
epl,manchester-united-fc,2019,Bruno Fernandes,M,25,9360000,180000
epl,manchester-united-fc,2019,Daniel James,F,22,2340000,45000
epl,manchester-united-fc,2019,David De Gea,GK,29,19500000,375000
epl,manchester-united-fc,2019,Diogo Dalot,M,20,1300000,25000
epl,manchester-united-fc,2019,Eric Bailly,D,25,4160000,80000
epl,manchester-united-fc,2019,Frederico de Paula Santos,M,26,6240000,120000
epl,manchester-united-fc,2019,Harry Maguire,D,26,9875000,189904
epl,manchester-united-fc,2019,Jesse Lingard,F,26,3900000,75000
epl,manchester-united-fc,2019,Juan Mata,M,31,8320000,160000
epl,manchester-united-fc,2019,Lee Grant,GK,36,1560000,30000
epl,manchester-united-fc,2019,Luke Shaw,D,24,7800000,150000
epl,manchester-united-fc,2019,Marcos Rojo,D,29,4160000,80000
epl,manchester-united-fc,2019,Marcus Rashford,F,22,10400000,200000
epl,manchester-united-fc,2019,Mason Greenwood,F,18,1820000,35000
epl,manchester-united-fc,2019,Matteo Darmian,D,30,2340000,45000
epl,manchester-united-fc,2019,Nemanja Matic,M,31,6240000,120000
epl,manchester-united-fc,2019,Paul Pogba,M,26,15080000,290000
epl,manchester-united-fc,2019,Phil Jones,D,27,3900000,75000
epl,manchester-united-fc,2019,Scott McTominay,M,23,520000,10000
epl,manchester-united-fc,2019,Sergio Romero,GK,32,3640000,70000
epl,manchester-united-fc,2019,Tahith Chong,F,20,1040000,20000
epl,manchester-united-fc,2019,Timothy FosuMensah,D,21,780000,15000
epl,manchester-united-fc,2019,Victor Lindelöf,D,25,6240000,120000
