league,team,season,Player_Name,Position,Age,Annual_Salary_GBP,Weekly_Salary_GBP
epl,afc-bournemouth,2017,Adam Federici,GK,32,1560000,30000
epl,afc-bournemouth,2017,Adam Smith,D,26,1820000,35000
epl,afc-bournemouth,2017,Andrew Surman,M,31,1820000,35000
epl,afc-bournemouth,2017,Artur Boruc,GK,37,2080000,40000
epl,afc-bournemouth,2017,Asmir Begovic,GK,30,3640000,70000
epl,afc-bournemouth,2017,Callum Wilson,F,25,1560000,30000
epl,afc-bournemouth,2017,Charlie Daniels,D,31,1820000,35000
epl,afc-bournemouth,2017,Dan Gosling,M,27,1820000,35000
epl,afc-bournemouth,2017,Harry Arter,M,27,2080000,40000
epl,afc-bournemouth,2017,Jermain Defoe,F,35,5380000,103462
epl,afc-bournemouth,2017,Jordon Ibe,M,22,1976000,38000
epl,afc-bournemouth,2017,Joshua King,F,25,2340000,45000
epl,afc-bournemouth,2017,Lewis Cook,M,20,1560000,30000
epl,afc-bournemouth,2017,Nathan Aké,D,22,2080000,40000
epl,afc-bournemouth,2017,Simon Francis,D,32,1560000,30000
epl,afc-bournemouth,2017,Steve Cook,D,26,2340000,45000
epl,arsenal-fc,2017,Aaron Ramsey,M,26,6240000,120000
epl,arsenal-fc,2017,Ainsley Maitland-Niles,M,20,208000,4000
epl,arsenal-fc,2017,Alex Iwobi,F,21,1560000,30000
epl,arsenal-fc,2017,Alexandre Lacazette,F,26,9467273,182063
epl,arsenal-fc,2017,Alexis Sanchez,F,28,7280000,140000
epl,arsenal-fc,2017,Calum Chambers,D,22,2600000,50000
epl,arsenal-fc,2017,Chuba Akpom,F,22,1040000,20000
epl,arsenal-fc,2017,Danny Welbeck,F,27,6500000,125000
epl,arsenal-fc,2017,David Ospina,GK,29,2080000,40000
epl,arsenal-fc,2017,Emiliano Martinez,GK,25,1040000,20000
epl,arsenal-fc,2017,Granit Xhaka,M,25,4680000,90000
epl,arsenal-fc,2017,Héctor Bellerín,D,22,5200000,100000
epl,arsenal-fc,2017,Henrikh Mkhitaryan,M,28,6240000,120000
epl,arsenal-fc,2017,Jack Wilshere,M,25,4680000,90000
epl,arsenal-fc,2017,Jeff Reine-Adelaide,M,19,104000,2000
epl,arsenal-fc,2017,Konstantinos Mavropanos,D,20,650000,12500
epl,arsenal-fc,2017,Laurent Koscielny,D,32,4680000,90000
epl,arsenal-fc,2017,Mathieu Debuchy,D,32,3900000,75000
epl,arsenal-fc,2017,Mesut Özil,M,29,9100000,175000
epl,arsenal-fc,2017,Mohamed Elneny,M,25,2860000,55000
epl,arsenal-fc,2017,Nacho Monreal,D,31,3380000,65000
epl,arsenal-fc,2017,Per Mertesacker,D,33,4680000,90000
epl,arsenal-fc,2017,Petr Cech,GK,35,5200000,100000
epl,arsenal-fc,2017,Pierre-Emerick Aubameyang,F,28,4680000,90000
epl,arsenal-fc,2017,Rob Holding,D,22,1300000,25000
epl,arsenal-fc,2017,Santi Cazorla,M,32,5200000,100000
epl,arsenal-fc,2017,Sead Kolašinac,D,24,6214000,119500
epl,arsenal-fc,2017,Shkodran Mustafi,D,25,4680000,90000
epl,brighton-hove-albion,2017,Ales Mateju,D,21,832000,16000
epl,brighton-hove-albion,2017,Anthony Knockaert,F,26,1820000,35000
epl,brighton-hove-albion,2017,Beram Kayal,M,29,1300000,25000
epl,brighton-hove-albion,2017,Bruno Saltor Grau,D,37,1560000,30000
epl,brighton-hove-albion,2017,Connor Goldson,D,24,1040000,20000
epl,brighton-hove-albion,2017,Dale Stephens,M,28,1560000,30000
epl,brighton-hove-albion,2017,Davy Pröpper,M,26,2340000,45000
epl,brighton-hove-albion,2017,Ezequiel Schelotto,D,28,1664000,32000
epl,brighton-hove-albion,2017,Gaetan Bong,D,29,1040000,20000
epl,brighton-hove-albion,2017,Glenn Murray,F,34,1560000,30000
epl,brighton-hove-albion,2017,Henrik Bjordal,F,20,52000,1000
epl,brighton-hove-albion,2017,Jiri Skalak,F,25,1040000,20000
epl,brighton-hove-albion,2017,José Izquierdo,F,25,2340000,45000
epl,brighton-hove-albion,2017,Jürgen Locadia,F,24,1170000,22500
epl,brighton-hove-albion,2017,Lewis Dunk,D,26,1820000,35000
epl,brighton-hove-albion,2017,Liam Rosenior,D,33,1040000,20000
epl,brighton-hove-albion,2017,Markus Suttner,D,30,1300000,25000
epl,brighton-hove-albion,2017,Mathew Ryan,GK,25,1820000,35000
epl,brighton-hove-albion,2017,Niki Maenpaa,GK,32,1040000,20000
epl,brighton-hove-albion,2017,Pascal Groß,M,26,1560000,30000
epl,brighton-hove-albion,2017,Sam Baldock,F,28,1040000,20000
epl,brighton-hove-albion,2017,Shane Duffy,D,25,1560000,30000
epl,brighton-hove-albion,2017,Solomon March,M,23,1300000,25000
epl,brighton-hove-albion,2017,Steve Sidwell,M,34,1300000,25000
epl,brighton-hove-albion,2017,Tim Krul,GK,29,1820000,35000
epl,brighton-hove-albion,2017,Tomer Hemed,F,30,1040000,20000
epl,brighton-hove-albion,2017,Uwe Hunemeier,D,31,1040000,20000
epl,burnley-fc,2017,Aaron Lennon,F,30,1820000,35000
epl,burnley-fc,2017,Adam Legzdins,GK,31,260000,5000
epl,burnley-fc,2017,Aiden ONeill,M,19,208000,4000
epl,burnley-fc,2017,Anders Lindegaard,GK,33,416000,8000
epl,burnley-fc,2017,Ashley Barnes,F,28,1300000,25000
epl,burnley-fc,2017,Ashley Westwood,M,27,1612000,31000
epl,burnley-fc,2017,Ben Mee,D,28,1456000,28000
epl,burnley-fc,2017,Charlie Taylor,D,24,1300000,25000
epl,burnley-fc,2017,Chris Wood,F,26,1820000,35000
epl,burnley-fc,2017,Dean Marney,M,33,1144000,22000
epl,burnley-fc,2017,Jack Cork,M,28,1820000,35000
epl,burnley-fc,2017,James Tarkowski,D,25,1144000,22000
epl,burnley-fc,2017,Jeff Hendrick,M,25,1820000,35000
epl,burnley-fc,2017,Jóhann Guðmundsson,M,27,1456000,28000
epl,burnley-fc,2017,Jonathan Walters,F,34,1560000,30000
epl,burnley-fc,2017,Kevin Long,D,27,832000,16000
epl,burnley-fc,2017,Matthew Lowton,D,28,1040000,20000
epl,burnley-fc,2017,Nahki Wells,F,27,1300000,25000
epl,burnley-fc,2017,Nick Pope,GK,25,1820000,35000
epl,burnley-fc,2017,Phil Bardsley,D,32,1300000,25000
