league,team,season,Player_Name,Position,Age,Annual_Salary_GBP,Weekly_Salary_GBP
epl,afc-bournemouth,2017,Adam Federici,GK,32,1560000,30000
epl,afc-bournemouth,2017,Adam Smith,D,26,1820000,35000
epl,afc-bournemouth,2017,Andrew Surman,M,31,1820000,35000
epl,afc-bournemouth,2017,Artur Boruc,GK,37,2080000,40000
epl,afc-bournemouth,2017,Asmir Begovic,GK,30,3640000,70000
epl,afc-bournemouth,2017,Callum Wilson,F,25,1560000,30000
epl,afc-bournemouth,2017,Charlie Daniels,D,31,1820000,35000
epl,afc-bournemouth,2017,Dan Gosling,M,27,1820000,35000
epl,afc-bournemouth,2017,Harry Arter,M,27,2080000,40000
epl,afc-bournemouth,2017,Jermain Defoe,F,35,5380000,103462
epl,afc-bournemouth,2017,Jordon Ibe,M,22,1976000,38000
epl,afc-bournemouth,2017,Joshua King,F,25,2340000,45000
epl,afc-bournemouth,2017,Lewis Cook,M,20,1560000,30000
epl,afc-bournemouth,2017,Nathan Aké,D,22,2080000,40000
epl,afc-bournemouth,2017,Simon Francis,D,32,1560000,30000
epl,afc-bournemouth,2017,Steve Cook,D,26,2340000,45000
