league,team,season,Player_Name,Position,Age,Annual_Salary_GBP,Weekly_Salary_GBP
epl,arsenal-fc,2017,Aaron Ramsey,M,26,6240000,120000
epl,arsenal-fc,2017,Ainsley Maitland-Niles,M,20,208000,4000
epl,arsenal-fc,2017,Alex Iwobi,F,21,1560000,30000
epl,arsenal-fc,2017,Alexandre Lacazette,F,26,9467273,182063
epl,arsenal-fc,2017,Alexis Sanchez,F,28,7280000,140000
epl,arsenal-fc,2017,Calum Chambers,D,22,2600000,50000
epl,arsenal-fc,2017,Chuba Akpom,F,22,1040000,20000
epl,arsenal-fc,2017,Danny Welbeck,F,27,6500000,125000
epl,arsenal-fc,2017,David Ospina,GK,29,2080000,40000
epl,arsenal-fc,2017,Emiliano Martinez,GK,25,1040000,20000
epl,arsenal-fc,2017,Granit Xhaka,M,25,4680000,90000
epl,arsenal-fc,2017,Héctor Bellerín,D,22,5200000,100000
epl,arsenal-fc,2017,Henrikh Mkhitaryan,M,28,6240000,120000
epl,arsenal-fc,2017,Jack Wilshere,M,25,4680000,90000
epl,arsenal-fc,2017,Jeff Reine-Adelaide,M,19,104000,2000
epl,arsenal-fc,2017,Konstantinos Mavropanos,D,20,650000,12500
epl,arsenal-fc,2017,Laurent Koscielny,D,32,4680000,90000
epl,arsenal-fc,2017,Mathieu Debuchy,D,32,3900000,75000
epl,arsenal-fc,2017,Mesut Özil,M,29,9100000,175000
epl,arsenal-fc,2017,Mohamed Elneny,M,25,2860000,55000
epl,arsenal-fc,2017,Nacho Monreal,D,31,3380000,65000
epl,arsenal-fc,2017,Per Mertesacker,D,33,4680000,90000
epl,arsenal-fc,2017,Petr Cech,GK,35,5200000,100000
epl,arsenal-fc,2017,Pierre-Emerick Aubameyang,F,28,4680000,90000
epl,arsenal-fc,2017,Rob Holding,D,22,1300000,25000
epl,arsenal-fc,2017,Santi Cazorla,M,32,5200000,100000
epl,arsenal-fc,2017,Sead Kolašinac,D,24,6214000,119500
epl,arsenal-fc,2017,Shkodran Mustafi,D,25,4680000,90000
