league,team,season,Player_Name,Position,Age,Annual_Salary_GBP,Weekly_Salary_GBP
epl,brighton-hove-albion,2017,Ales Mateju,D,21,832000,16000
epl,brighton-hove-albion,2017,Anthony Knockaert,F,26,1820000,35000
epl,brighton-hove-albion,2017,Beram Kayal,M,29,1300000,25000
epl,brighton-hove-albion,2017,Bruno Saltor Grau,D,37,1560000,30000
epl,brighton-hove-albion,2017,Connor Goldson,D,24,1040000,20000
epl,brighton-hove-albion,2017,Dale Stephens,M,28,1560000,30000
epl,brighton-hove-albion,2017,Davy Pröpper,M,26,2340000,45000
epl,brighton-hove-albion,2017,Ezequiel Schelotto,D,28,1664000,32000
epl,brighton-hove-albion,2017,Gaetan Bong,D,29,1040000,20000
epl,brighton-hove-albion,2017,Glenn Murray,F,34,1560000,30000
epl,brighton-hove-albion,2017,Henrik Bjordal,F,20,52000,1000
epl,brighton-hove-albion,2017,Jiri Skalak,F,25,1040000,20000
epl,brighton-hove-albion,2017,José Izquierdo,F,25,2340000,45000
epl,brighton-hove-albion,2017,Jürgen Locadia,F,24,1170000,22500
epl,brighton-hove-albion,2017,Lewis Dunk,D,26,1820000,35000
epl,brighton-hove-albion,2017,Liam Rosenior,D,33,1040000,20000
epl,brighton-hove-albion,2017,Markus Suttner,D,30,1300000,25000
epl,brighton-hove-albion,2017,Mathew Ryan,GK,25,1820000,35000
epl,brighton-hove-albion,2017,Niki Maenpaa,GK,32,1040000,20000
epl,brighton-hove-albion,2017,Pascal Groß,M,26,1560000,30000
epl,brighton-hove-albion,2017,Sam Baldock,F,28,1040000,20000
epl,brighton-hove-albion,2017,Shane Duffy,D,25,1560000,30000
epl,brighton-hove-albion,2017,Solomon March,M,23,1300000,25000
epl,brighton-hove-albion,2017,Steve Sidwell,M,34,1300000,25000
epl,brighton-hove-albion,2017,Tim Krul,GK,29,1820000,35000
epl,brighton-hove-albion,2017,Tomer Hemed,F,30,1040000,20000
epl,brighton-hove-albion,2017,Uwe Hunemeier,D,31,1040000,20000
