league,team,season,Player_Name,Position,Age,Annual_Salary_GBP,Weekly_Salary_GBP
epl,burnley-fc,2017,Aaron Lennon,F,30,1820000,35000
epl,burnley-fc,2017,Adam Legzdins,GK,31,260000,5000
epl,burnley-fc,2017,Aiden ONeill,M,19,208000,4000
epl,burnley-fc,2017,Anders Lindegaard,GK,33,416000,8000
epl,burnley-fc,2017,Ashley Barnes,F,28,1300000,25000
epl,burnley-fc,2017,Ashley Westwood,M,27,1612000,31000
epl,burnley-fc,2017,Ben Mee,D,28,1456000,28000
epl,burnley-fc,2017,Charlie Taylor,D,24,1300000,25000
epl,burnley-fc,2017,Chris Wood,F,26,1820000,35000
epl,burnley-fc,2017,Dean Marney,M,33,1144000,22000
epl,burnley-fc,2017,Jack Cork,M,28,1820000,35000
epl,burnley-fc,2017,James Tarkowski,D,25,1144000,22000
epl,burnley-fc,2017,Jeff Hendrick,M,25,1820000,35000
epl,burnley-fc,2017,Jóhann Guðmundsson,M,27,1456000,28000
epl,burnley-fc,2017,Jonathan Walters,F,34,1560000,30000
epl,burnley-fc,2017,Kevin Long,D,27,832000,16000
epl,burnley-fc,2017,Matthew Lowton,D,28,1040000,20000
epl,burnley-fc,2017,Nahki Wells,F,27,1300000,25000
epl,burnley-fc,2017,Nick Pope,GK,25,1820000,35000
epl,burnley-fc,2017,Phil Bardsley,D,32,1300000,25000
epl,burnley-fc,2017,Robbie Brady,M,25,1820000,35000
epl,burnley-fc,2017,Sam Vokes,F,28,884000,17000
epl,burnley-fc,2017,Scott Arfield,M,29,1196000,23000
epl,burnley-fc,2017,Stephen Ward,D,32,1456000,28000
epl,burnley-fc,2017,Steven Defour,M,29,1820000,35000
epl,burnley-fc,2017,Tom Heaton,GK,31,1820000,35000
