league,team,season,Player_Name,Position,Age,Annual_Salary_GBP,Weekly_Salary_GBP
epl,chelsea-fc,2017,Álvaro Morata,F,25,8840000,170000
epl,chelsea-fc,2017,Andreas Christensen,D,21,1820000,35000
epl,chelsea-fc,2017,Antonio Rüdiger,D,24,5200000,100000
epl,chelsea-fc,2017,Cesar Azpilicueta,D,28,5200000,100000
epl,chelsea-fc,2017,Cesc Fàbregas,M,30,8112000,156000
epl,chelsea-fc,2017,Charly Musonda,M,21,550000,10577
epl,chelsea-fc,2017,Danny Drinkwater,M,27,5200000,100000
epl,chelsea-fc,2017,David Luiz,D,30,6240000,120000
epl,chelsea-fc,2017,Davide Zappacosta,D,25,3640000,70000
epl,chelsea-fc,2017,Eden Hazard,M,26,11700000,225000
epl,chelsea-fc,2017,Emerson,D,23,1950000,37500
epl,chelsea-fc,2017,Ethan Ampadu,M,17,156000,3000
epl,chelsea-fc,2017,Gary Cahill,D,31,5200000,100000
epl,chelsea-fc,2017,Jake ClarkeSalter,D,20,260000,5000
epl,chelsea-fc,2017,Kyle Scott,M,20,156000,3000
epl,chelsea-fc,2017,Lewis Baker,M,22,1040000,20000
epl,chelsea-fc,2017,Marcos Alonso,D,26,4680000,90000
epl,chelsea-fc,2017,Matej Delac,GK,25,468000,9000
epl,chelsea-fc,2017,"N'Golo Kanté",M,26,6240000,120000
epl,chelsea-fc,2017,Olivier Giroud,F,31,3120000,60000
epl,chelsea-fc,2017,Pedro,M,30,5200000,100000
epl,chelsea-fc,2017,Ross Barkley,M,24,2600000,50000
epl,chelsea-fc,2017,Thibaut Courtois,GK,25,6240000,120000
epl,chelsea-fc,2017,Tiemoué Bakayoko,M,23,5720000,110000
epl,chelsea-fc,2017,Victor Moses,D,27,3900000,75000
epl,chelsea-fc,2017,Willian,M,29,7200000,138462
epl,chelsea-fc,2017,Willy Caballero,GK,36,2080000,40000
