league,team,season,Player_Name,Position,Age,Annual_Salary_GBP,Weekly_Salary_GBP
epl,crystal-palace,2017,Aaron WanBissaka,D,20,390000,7500
epl,crystal-palace,2017,Alexander Sörloth,F,22,520000,10000
epl,crystal-palace,2017,Andros Townsend,F,26,2860000,55000
epl,crystal-palace,2017,Bakary Sako,M,29,2860000,55000
epl,crystal-palace,2017,Christian Benteke,F,27,6240000,120000
epl,crystal-palace,2017,ChungYong Lee,F,29,1300000,25000
epl,crystal-palace,2017,Connor Wickham,F,24,3120000,60000
epl,crystal-palace,2017,Damien Delaney,D,36,1300000,25000
epl,crystal-palace,2017,Jairo Riedewald,D,21,2860000,55000
epl,crystal-palace,2017,James McArthur,M,30,2600000,50000
epl,crystal-palace,2017,James Tomkins,D,28,2600000,50000
epl,crystal-palace,2017,Jason Puncheon,M,37,1820000,35000
epl,crystal-palace,2017,Jeffrey Schlupp,D,24,2912000,56000
epl,crystal-palace,2017,Joel Ward,D,28,1820000,35000
epl,crystal-palace,2017,Julian Speroni,GK,38,1300000,25000
epl,crystal-palace,2017,Luka Milivojević,M,26,2860000,55000
epl,crystal-palace,2017,Mamadou Sakho,D,27,5200000,100000
epl,crystal-palace,2017,Martin Kelly,D,27,1300000,25000
epl,crystal-palace,2017,Pape Souare,D,27,1560000,30000
epl,crystal-palace,2017,Patrick van Aanholt,D,27,2860000,55000
epl,crystal-palace,2017,Scott Dann,D,30,3120000,60000
epl,crystal-palace,2017,Wayne Hennessey,GK,30,2080000,40000
epl,crystal-palace,2017,Wilfried Zaha,F,25,5200000,100000
epl,crystal-palace,2017,Yohan Cabaye,M,31,4472000,86000
