league,team,season,Player_Name,Position,Age,Annual_Salary_GBP,Weekly_Salary_GBP
epl,everton-fc,2017,Ashley Williams,D,33,3640000,70000
epl,everton-fc,2017,Beni Baningime,M,19,104000,2000
epl,everton-fc,2017,Cenk Tosun,F,26,3120000,60000
epl,everton-fc,2017,Conor Grant,M,22,156000,3000
epl,everton-fc,2017,Cuco Martina,D,28,1820000,35000
epl,everton-fc,2017,Davy Klaassen,M,24,3640000,70000
epl,everton-fc,2017,Dominic CalvertLewin,F,20,1040000,20000
epl,everton-fc,2017,Gylfi Sigurðsson,M,28,5200000,100000
epl,everton-fc,2017,Idrissa Gueye,M,28,2340000,45000
epl,everton-fc,2017,James McCarthy,M,27,2600000,50000
epl,everton-fc,2017,Joel Robles,GK,27,1040000,20000
epl,everton-fc,2017,Jonjoe Kenny,D,20,780000,15000
epl,everton-fc,2017,Jordan Pickford,GK,23,3120000,60000
epl,everton-fc,2017,Leighton Baines,D,33,3640000,70000
epl,everton-fc,2017,Luke Garbutt,D,24,1456000,28000
epl,everton-fc,2017,Maarten Stekelenburg,GK,35,1560000,30000
epl,everton-fc,2017,Mason Holgate,D,21,1300000,25000
epl,everton-fc,2017,Michael Keane,D,24,3120000,60000
epl,everton-fc,2017,Morgan Schneiderlin,M,28,5200000,100000
epl,everton-fc,2017,Nikola Vlasic,M,20,1300000,25000
epl,everton-fc,2017,Oumar Niasse,F,27,2860000,55000
epl,everton-fc,2017,Phil Jagielka,D,35,2600000,50000
epl,everton-fc,2017,Ramiro Funes Mori,D,26,2080000,40000
epl,everton-fc,2017,Séamus Coleman,D,29,1976000,38000
epl,everton-fc,2017,Shani Tarashaj,F,22,780000,15000
epl,everton-fc,2017,Theo Walcott,F,28,2600000,50000
epl,everton-fc,2017,Tom Davies,M,19,1300000,25000
epl,everton-fc,2017,Wayne Rooney,F,32,8320000,160000
epl,everton-fc,2017,Yannick Bolasie,F,28,3900000,75000
