league,team,season,Player_Name,Position,Age,Annual_Salary_GBP,Weekly_Salary_GBP
epl,huddersfield-town,2017,Aaron Mooy,M,27,2600000,50000
epl,huddersfield-town,2017,Abdelhamid Sabiri,M,21,936000,18000
epl,huddersfield-town,2017,Alex Pritchard,M,24,1560000,30000
epl,huddersfield-town,2017,Chris Lowe,D,28,1040000,20000
epl,huddersfield-town,2017,Christopher Schindler,D,27,1300000,25000
epl,huddersfield-town,2017,Collin Quaner,F,26,832000,16000
epl,huddersfield-town,2017,Daniel Williams,M,28,1560000,30000
epl,huddersfield-town,2017,Dean Whitehead,M,35,520000,10000
epl,huddersfield-town,2017,Elias Kachunga,F,25,1300000,25000
epl,huddersfield-town,2017,Jo GorencStankovic,D,21,780000,15000
epl,huddersfield-town,2017,Joel Coleman,GK,22,520000,10000
epl,huddersfield-town,2017,Jonathan Hogg,M,29,1196000,23000
epl,huddersfield-town,2017,Laurent Depoitre,F,29,1820000,35000
epl,huddersfield-town,2017,Mathias Jørgensen,D,27,1716000,33000
epl,huddersfield-town,2017,Michael Hefele,D,27,780000,15000
epl,huddersfield-town,2017,Philip Billing,M,21,780000,15000
epl,huddersfield-town,2017,Rajiv van La Parra,M,26,936000,18000
epl,huddersfield-town,2017,Robert Green,GK,27,780000,15000
epl,huddersfield-town,2017,Ryan Schofield,GK,18,26000,500
epl,huddersfield-town,2017,Scott Malone,D,26,1040000,20000
epl,huddersfield-town,2017,Sean Scannell,F,27,1040000,20000
epl,huddersfield-town,2017,Steve Mounié,F,23,1820000,35000
epl,huddersfield-town,2017,Tom Ince,F,25,1560000,30000
epl,huddersfield-town,2017,Tom Smith,D,25,1040000,20000
