league,team,season,Player_Name,Position,Age,Annual_Salary_GBP,Weekly_Salary_GBP
epl,leicester-city,2017,Adrien Silva,M,28,4160000,80000
epl,leicester-city,2017,Ben Chilwell,D,20,3380000,65000
epl,leicester-city,2017,Ben Hamer,GK,30,624000,12000
epl,leicester-city,2017,Christian Fuchs,D,31,2600000,50000
epl,leicester-city,2017,Daniel Amartey,M,22,1092000,21000
epl,leicester-city,2017,Danny Simpson,D,30,2340000,45000
epl,leicester-city,2017,Demarai Gray,F,21,2860000,55000
epl,leicester-city,2017,Eldin Jakupovic,GK,33,1196000,23000
epl,leicester-city,2017,Fousséni Diabaté,F,22,780000,15000
epl,leicester-city,2017,Hamza Choudhury,M,20,416000,8000
epl,leicester-city,2017,Harry Maguire,D,24,2080000,40000
epl,leicester-city,2017,Jamie Vardy,F,30,5200000,100000
epl,leicester-city,2017,Josh Knight,D,20,104000,2000
epl,leicester-city,2017,Kasper Schmeichel,GK,31,4160000,80000
epl,leicester-city,2017,Kelechi Iheanacho,F,21,3120000,60000
epl,leicester-city,2017,Marc Albrighton,M,28,2340000,45000
epl,leicester-city,2017,Matty James,M,26,1664000,32000
epl,leicester-city,2017,Riyad Mahrez,F,26,5200000,100000
epl,leicester-city,2017,Robert Huth,D,33,1976000,38000
epl,leicester-city,2017,Shinji Okazaki,F,31,1820000,35000
epl,leicester-city,2017,Vicente Iborra,M,29,2860000,55000
epl,leicester-city,2017,Wes Morgan,D,33,3120000,60000
epl,leicester-city,2017,Wilfred Ndidi,M,20,1820000,35000
epl,leicester-city,2017,Yohan Benalouane,D,30,2080000,40000
