league,team,season,Player_Name,Position,Age,Annual_Salary_GBP,Weekly_Salary_GBP
epl,liverpool-fc,2017,Adam Bogdan,GK,30,1248000,24000
epl,liverpool-fc,2017,Adam Lallana,M,29,3380000,65000
epl,liverpool-fc,2017,Alberto Moreno,D,25,2080000,40000
epl,liverpool-fc,2017,Alex Oxlade-Chamberlain,M,24,6240000,120000
epl,liverpool-fc,2017,Andrew Robertson,D,23,2600000,50000
epl,liverpool-fc,2017,Ben Woodburn,F,18,624000,12000
epl,liverpool-fc,2017,Danny Ings,F,25,3900000,75000
epl,liverpool-fc,2017,Danny Ward,GK,24,936000,18000
epl,liverpool-fc,2017,Dejan Lovren,D,28,5200000,100000
epl,liverpool-fc,2017,Dominic Solanke,F,20,1300000,25000
epl,liverpool-fc,2017,Emre Can,M,23,2340000,45000
epl,liverpool-fc,2017,Georginio Wijnaldum,M,27,3900000,75000
epl,liverpool-fc,2017,Harry Wilson,M,20,208000,4000
epl,liverpool-fc,2017,James Milner,M,31,7280000,140000
epl,liverpool-fc,2017,Joe Gomez,D,20,1560000,30000
epl,liverpool-fc,2017,Joel Matip,D,26,5200000,100000
epl,liverpool-fc,2017,Jordan Henderson,M,27,5200000,100000
epl,liverpool-fc,2017,Kamil Grabara,GK,18,400000,7692
epl,liverpool-fc,2017,Loris Karius,GK,24,1300000,25000
epl,liverpool-fc,2017,Mohamed Salah,F,25,6240000,120000
epl,liverpool-fc,2017,Nathaniel Clyne,D,26,3640000,70000
epl,liverpool-fc,2017,Ovie Ejaria,M,20,104000,2000
epl,liverpool-fc,2017,Ragnar Klavan,D,32,2860000,55000
epl,liverpool-fc,2017,Roberto Firmino,F,26,5200000,100000
epl,liverpool-fc,2017,Sadio Mané,F,25,4680000,90000
epl,liverpool-fc,2017,Simon Mignolet,GK,29,3120000,60000
epl,liverpool-fc,2017,Trent Alexander-Arnold,D,19,624000,12000
epl,liverpool-fc,2017,Virgil Van Dijk,D,26,4680000,90000
