league,team,season,Player_Name,Position,Age,Annual_Salary_GBP,Weekly_Salary_GBP
epl,manchester-city-fc,2017,Aymeric Laporte,D,23,1690000,32500
epl,manchester-city-fc,2017,Benjamin Mendy,D,23,4680000,90000
epl,manchester-city-fc,2017,Bernardo Silva,F,23,6240000,120000
epl,manchester-city-fc,2017,Brahim Diaz,M,18,416000,8000
epl,manchester-city-fc,2017,Claudio Bravo,GK,34,4160000,80000
epl,manchester-city-fc,2017,Danilo,D,26,4160000,80000
epl,manchester-city-fc,2017,David Silva,M,31,8320000,160000
epl,manchester-city-fc,2017,Ederson Moraes,GK,24,3380000,65000
epl,manchester-city-fc,2017,Fabian Delph,M,28,4160000,80000
epl,manchester-city-fc,2017,Fernandinho,M,32,5200000,100000
epl,manchester-city-fc,2017,Gabriel Jesus,F,20,3900000,75000
epl,manchester-city-fc,2017,İlkay Gündoğan,M,27,7280000,140000
epl,manchester-city-fc,2017,Jack Harrison,F,21,780000,15000
epl,manchester-city-fc,2017,John Stones,D,23,5200000,100000
epl,manchester-city-fc,2017,Kevin De Bruyne,M,26,9100000,175000
epl,manchester-city-fc,2017,Kyle Walker,D,27,5200000,100000
epl,manchester-city-fc,2017,Leroy Sané,F,21,4680000,90000
epl,manchester-city-fc,2017,Nicolás Otamendi,D,29,6240000,120000
epl,manchester-city-fc,2017,Oleksandr Zinchenko,M,20,1040000,20000
epl,manchester-city-fc,2017,Phil Foden,M,17,624000,12000
epl,manchester-city-fc,2017,Raheem Sterling,F,23,7800000,150000
epl,manchester-city-fc,2017,Sergio Agüero,F,29,11440000,220000
epl,manchester-city-fc,2017,Tosin Adarabioyo,D,20,1560000,30000
epl,manchester-city-fc,2017,Vincent Kompany,D,31,7800000,150000
epl,manchester-city-fc,2017,Yaya Touré,M,34,11440000,220000
