league,team,season,Player_Name,Position,Age,Annual_Salary_GBP,Weekly_Salary_GBP
epl,manchester-united-fc,2017,Alexis Sánchez,F,28,9100000,175000
epl,manchester-united-fc,2017,Ander Herrera,M,28,5980000,115000
epl,manchester-united-fc,2017,Anthony Martial,F,22,5720000,110000
epl,manchester-united-fc,2017,Antonio Valencia,D,32,4420000,85000
epl,manchester-united-fc,2017,Ashley Young,M,32,6240000,120000
epl,manchester-united-fc,2017,Cameron BorthwickJackson,D,20,520000,10000
epl,manchester-united-fc,2017,Chris Smalling,D,28,3640000,70000
epl,manchester-united-fc,2017,Daley Blind,D,27,3900000,75000
epl,manchester-united-fc,2017,David De Gea,GK,27,10400000,200000
epl,manchester-united-fc,2017,Eric Bailly,D,23,4160000,80000
epl,manchester-united-fc,2017,Jesse Lingard,F,24,3900000,75000
epl,manchester-united-fc,2017,Joel Castro Pereira,GK,21,780000,15000
epl,manchester-united-fc,2017,Juan Mata,M,29,8320000,160000
epl,manchester-united-fc,2017,Luke Shaw,D,22,5720000,110000
epl,manchester-united-fc,2017,Marcos Rojo,D,27,5720000,110000
epl,manchester-united-fc,2017,Marcus Rashford,F,20,1040000,20000
epl,manchester-united-fc,2017,Marouane Fellaini,M,30,4680000,90000
epl,manchester-united-fc,2017,Matteo Darmian,D,28,2340000,45000
epl,manchester-united-fc,2017,Michael Carrick,M,36,4160000,80000
epl,manchester-united-fc,2017,Nemanja Matić,M,29,6240000,120000
epl,manchester-united-fc,2017,Paul Pogba,M,24,15080000,290000
epl,manchester-united-fc,2017,Phil Jones,D,25,3900000,75000
epl,manchester-united-fc,2017,Romelu Lukaku,F,24,9360000,180000
epl,manchester-united-fc,2017,Scott McTominay,M,21,520000,10000
epl,manchester-united-fc,2017,Sergio Romero,GK,30,3640000,70000
epl,manchester-united-fc,2017,Victor Lindelof,D,23,6240000,120000
