league,team,season,Player_Name,Position,Age,Annual_Salary_GBP,Weekly_Salary_GBP
epl,newcastle-united-fc,2017,Ayoze Pérez,F,24,2340000,45000
epl,newcastle-united-fc,2017,Chancel Mbemba,D,23,1820000,35000
epl,newcastle-united-fc,2017,Christian Atsu,F,25,1560000,30000
epl,newcastle-united-fc,2017,Ciaran Clark,D,28,1820000,35000
epl,newcastle-united-fc,2017,DeAndre Yedlin,D,24,1560000,30000
epl,newcastle-united-fc,2017,Dwight Gayle,F,28,2080000,40000
epl,newcastle-united-fc,2017,Florian Lejeune,D,26,1976000,38000
epl,newcastle-united-fc,2017,Henri Saivet,M,27,1820000,35000
epl,newcastle-united-fc,2017,Isaac Hayden,M,22,1144000,22000
epl,newcastle-united-fc,2017,Islam Slimani,F,29,4160000,80000
epl,newcastle-united-fc,2017,Ivan Toney,F,21,260000,5000
epl,newcastle-united-fc,2017,Jacob Murphy,F,22,1300000,25000
epl,newcastle-united-fc,2017,Jamaal Lascelles,D,24,2080000,40000
epl,newcastle-united-fc,2017,Jesus Gamez,D,32,1820000,35000
epl,newcastle-united-fc,2017,Jonjo Shelvey,M,25,3640000,70000
epl,newcastle-united-fc,2017,Joselu,F,27,2080000,40000
epl,newcastle-united-fc,2017,Karl Darlow,GK,27,1300000,25000
epl,newcastle-united-fc,2017,Manquillo,D,23,1820000,35000
epl,newcastle-united-fc,2017,Massadio Haidara,D,25,1040000,20000
epl,newcastle-united-fc,2017,Matt Ritchie,M,28,2340000,45000
epl,newcastle-united-fc,2017,Momo Diamé,M,30,2340000,45000
epl,newcastle-united-fc,2017,Paul Dummett,D,26,1456000,28000
epl,newcastle-united-fc,2017,Rob Elliot,GK,31,1300000,25000
