league,team,season,Player_Name,Position,Age,Annual_Salary_GBP,Weekly_Salary_GBP
epl,southampton-fc,2017,Alex McCarthy,GK,28,2080000,40000
epl,southampton-fc,2017,Alfie Jones,D,20,41600,800
epl,southampton-fc,2017,Cédric Soares,D,26,3380000,65000
epl,southampton-fc,2017,Charlie Austin,F,28,3640000,70000
epl,southampton-fc,2017,Dušan Tadić,F,29,3120000,60000
epl,southampton-fc,2017,Fraser Forster,GK,29,3640000,70000
epl,southampton-fc,2017,Jack Stephens,D,23,2496000,48000
epl,southampton-fc,2017,Jake Flannigan,D,21,41600,800
epl,southampton-fc,2017,Jake Hesketh,M,21,936000,18000
epl,southampton-fc,2017,James Ward-Prowse,M,23,2340000,45000
epl,southampton-fc,2017,Jan Bednarek,D,21,1040000,20000
epl,southampton-fc,2017,Jérémy Pied,M,28,2080000,40000
epl,southampton-fc,2017,Josh Sims,F,20,936000,18000
epl,southampton-fc,2017,Manolo Gabbiadini,F,26,4160000,80000
epl,southampton-fc,2017,Mario Lemina,M,24,3380000,65000
epl,southampton-fc,2017,Maya Yoshida,D,29,2600000,50000
epl,southampton-fc,2017,Nathan Redmond,F,23,3120000,60000
epl,southampton-fc,2017,Oriol Romeu,M,26,3380000,65000
epl,southampton-fc,2017,PierreEmile Hojbjerg,M,22,2600000,50000
epl,southampton-fc,2017,Ryan Bertrand,D,28,3640000,70000
epl,southampton-fc,2017,Sam McQueen,M,22,936000,18000
epl,southampton-fc,2017,Shane Long,F,30,3120000,60000
epl,southampton-fc,2017,Sofiane Boufal,M,24,3380000,65000
epl,southampton-fc,2017,Steven Davis,M,32,3120000,60000
epl,southampton-fc,2017,Wesley Hoedt,D,23,3120000,60000
epl,southampton-fc,2017,Will Wood,D,21,41600,800
epl,southampton-fc,2017,Yan Valery,D,18,41600,800
