league,team,season,Player_Name,Position,Age,Annual_Salary_GBP,Weekly_Salary_GBP
epl,stoke-city-fc,2017,Bruno Martins Indi,D,25,3120000,60000
epl,stoke-city-fc,2017,Charlie Adam,M,32,1820000,35000
epl,stoke-city-fc,2017,Darren Fletcher,M,33,2860000,55000
epl,stoke-city-fc,2017,Eric Maxim Choupo-Moting,M,28,3380000,65000
epl,stoke-city-fc,2017,Erik Pieters,D,29,1976000,38000
epl,stoke-city-fc,2017,Geoff Cameron,D,32,1560000,30000
epl,stoke-city-fc,2017,Glen Johnson,D,33,1560000,30000
epl,stoke-city-fc,2017,Harry Souttar,D,19,156000,3000
epl,stoke-city-fc,2017,Ibrahim Afellay,M,31,1300000,25000
epl,stoke-city-fc,2017,Jack Butland,GK,24,1820000,35000
epl,stoke-city-fc,2017,Jakob Haugaard,GK,25,520000,10000
epl,stoke-city-fc,2017,Joe Allen,M,27,2600000,50000
epl,stoke-city-fc,2017,Julien Ngoy,F,20,260000,5000
epl,stoke-city-fc,2017,Kevin Wimmer,D,25,3640000,70000
epl,stoke-city-fc,2017,Lee Grant,GK,34,1560000,30000
epl,stoke-city-fc,2017,Mame Diouf,F,29,3380000,65000
epl,stoke-city-fc,2017,Peter Crouch,F,36,2080000,40000
epl,stoke-city-fc,2017,Ramadan Sobhi,F,20,1196000,23000
epl,stoke-city-fc,2017,Ryan Shawcross,D,30,2860000,55000
epl,stoke-city-fc,2017,Saido Berahino,F,24,4160000,80000
epl,stoke-city-fc,2017,Stephen Ireland,M,31,260000,5000
epl,stoke-city-fc,2017,Thibaud Verlinden,M,18,260000,5000
epl,stoke-city-fc,2017,Xherdan Shaqiri,M,26,3380000,65000
