league,team,season,Player_Name,Position,Age,Annual_Salary_GBP,Weekly_Salary_GBP
epl,swansea-city-afc,2017,Alfie Mawson,D,23,1300000,25000
epl,swansea-city-afc,2017,Angel Rangel,D,35,1664000,32000
epl,swansea-city-afc,2017,Erwin Mulder,GK,28,1040000,20000
epl,swansea-city-afc,2017,Federico Fernández,D,28,2236000,43000
epl,swansea-city-afc,2017,Jordan Ayew,F,26,2600000,50000
epl,swansea-city-afc,2017,Kristoffer Nordfeldt,GK,28,1300000,25000
epl,swansea-city-afc,2017,Kyle Bartley,D,26,1456000,28000
epl,swansea-city-afc,2017,Kyle Naughton,D,29,1664000,32000
epl,swansea-city-afc,2017,Leon Britton,M,35,1976000,38000
epl,swansea-city-afc,2017,Leroy Fer,M,27,2340000,45000
epl,swansea-city-afc,2017,Luciano Narsingh,M,27,1560000,30000
epl,swansea-city-afc,2017,Lukasz Fabianski,GK,32,2600000,50000
epl,swansea-city-afc,2017,Martin Olsson,D,29,1716000,33000
epl,swansea-city-afc,2017,Mike van der Hoorn,D,25,780000,15000
epl,swansea-city-afc,2017,Nathan Dyer,M,30,1664000,32000
epl,swansea-city-afc,2017,Roque Mesa,M,28,2548000,49000
epl,swansea-city-afc,2017,Sam Clucas,M,27,2600000,50000
epl,swansea-city-afc,2017,Sung-yueng Ki,M,28,1872000,36000
epl,swansea-city-afc,2017,Tom Carroll,M,25,1820000,35000
epl,swansea-city-afc,2017,Wayne Routledge,M,32,1872000,36000
epl,swansea-city-afc,2017,Wilfried Bony,F,29,4680000,90000
