league,team,season,Player_Name,Position,Age,Annual_Salary_GBP,Weekly_Salary_GBP
epl,tottenham-hotspur-fc,2017,Ben Davies,D,24,3120000,60000
epl,tottenham-hotspur-fc,2017,Christian Eriksen,M,25,3900000,75000
epl,tottenham-hotspur-fc,2017,Danny Rose,D,27,3120000,60000
epl,tottenham-hotspur-fc,2017,Davinson Sanchez,D,21,3120000,60000
epl,tottenham-hotspur-fc,2017,Dele Alli,M,21,2860000,55000
epl,tottenham-hotspur-fc,2017,Eric Dier,M,23,3120000,60000
epl,tottenham-hotspur-fc,2017,Èrik Lamela,M,25,4160000,80000
epl,tottenham-hotspur-fc,2017,Fernando Llorente,F,32,3900000,75000
epl,tottenham-hotspur-fc,2017,Harry Kane,F,24,5200000,100000
epl,tottenham-hotspur-fc,2017,Harry Winks,M,21,1300000,25000
epl,tottenham-hotspur-fc,2017,Heung-min Son,F,25,4420000,85000
epl,tottenham-hotspur-fc,2017,Hugo Lloris,GK,30,5200000,100000
epl,tottenham-hotspur-fc,2017,Jan Vertonghen,D,30,5200000,100000
epl,tottenham-hotspur-fc,2017,Juan Foyth,D,19,1118000,21500
epl,tottenham-hotspur-fc,2017,Kieran Trippier,D,27,3380000,65000
epl,tottenham-hotspur-fc,2017,Kyle Walker-Peters,D,20,1040000,20000
epl,tottenham-hotspur-fc,2017,Lucas Moura,F,25,1950000,37500
epl,tottenham-hotspur-fc,2017,Michel Vorm,GK,34,2080000,40000
epl,tottenham-hotspur-fc,2017,Mousa Dembele,M,30,2860000,55000
epl,tottenham-hotspur-fc,2017,Moussa Sissoko,M,28,4160000,80000
epl,tottenham-hotspur-fc,2017,Paulo Gazzaniga,GK,25,1040000,20000
epl,tottenham-hotspur-fc,2017,Serge Aurier,D,24,3640000,70000
epl,tottenham-hotspur-fc,2017,Toby Alderweireld,D,28,4160000,80000
epl,tottenham-hotspur-fc,2017,Victor Wanyama,M,26,3380000,65000
