league,team,season,Player_Name,Position,Age,Annual_Salary_GBP,Weekly_Salary_GBP
epl,watford,2017,Abdoulaye Doucouré,M,24,1040000,20000
epl,watford,2017,Adrian Mariappa,D,31,364000,7000
epl,watford,2017,André Carrillo,M,26,884000,17000
epl,watford,2017,Andre Gray,F,26,3640000,70000
epl,watford,2017,Christian Kabasele,D,26,1560000,30000
epl,watford,2017,Craig Cathcart,D,28,1200000,23077
epl,watford,2017,Daniel Bachmann,GK,23,156000,3000
epl,watford,2017,Daryl Janmaat,D,28,2340000,45000
epl,watford,2017,Étienne Capoue,M,29,1820000,35000
epl,watford,2017,Heurelho Gomes,GK,36,1820000,35000
epl,watford,2017,Isaac Success,F,21,1560000,30000
epl,watford,2017,Jerome Sinclair,F,21,1040000,20000
epl,watford,2017,José Holebas,D,33,1560000,30000
epl,watford,2017,Kiko Femenía,D,26,1040000,20000
epl,watford,2017,Marvin Zeegelaar,D,27,1040000,20000
epl,watford,2017,Miguel Britos,D,32,1300000,25000
epl,watford,2017,Nathaniel Chalobah,M,23,1820000,35000
epl,watford,2017,Pontus Dahlberg,GK,18,156000,3000
epl,watford,2017,Richarlison,F,20,1664000,32000
epl,watford,2017,Roberto Pereyra,M,26,2340000,45000
epl,watford,2017,Sebastian Prodl,D,30,2340000,45000
epl,watford,2017,Stefano Okaka,F,28,1820000,35000
epl,watford,2017,Tom Cleverley,M,28,2600000,50000
epl,watford,2017,Tommie Hoban,D,23,832000,16000
epl,watford,2017,Troy Deeney,F,29,3380000,65000
epl,watford,2017,Will Hughes,M,22,1560000,30000
epl,watford,2017,Younes Kaboul,D,31,1820000,35000
