league,team,season,Player_Name,Position,Age,Annual_Salary_GBP,Weekly_Salary_GBP
epl,west-bromwich-albion-fc,2017,Alex Palmer,GK,21,104000,2000
epl,west-bromwich-albion-fc,2017,Allan Nyom,D,29,1820000,35000
epl,west-bromwich-albion-fc,2017,Ben Foster,GK,34,3120000,60000
epl,west-bromwich-albion-fc,2017,Boaz Myhill,GK,35,1352000,26000
epl,west-bromwich-albion-fc,2017,Chris Brunt,M,32,2340000,45000
epl,west-bromwich-albion-fc,2017,Claudio Yacob,M,30,3120000,60000
epl,west-bromwich-albion-fc,2017,Craig Dawson,D,27,2080000,40000
epl,west-bromwich-albion-fc,2017,Daniel Sturridge,F,28,6760000,130000
epl,west-bromwich-albion-fc,2017,Gareth Barry,M,36,3120000,60000
epl,west-bromwich-albion-fc,2017,Gareth McAuley,D,38,1820000,35000
epl,west-bromwich-albion-fc,2017,Hal Robson-Kanu,F,28,1560000,30000
epl,west-bromwich-albion-fc,2017,Jake Livermore,M,28,2392000,46000
epl,west-bromwich-albion-fc,2017,James McClean,M,28,1560000,30000
epl,west-bromwich-albion-fc,2017,James Morrison,M,31,2080000,40000
epl,west-bromwich-albion-fc,2017,Jay Rodriguez,F,28,3120000,60000
epl,west-bromwich-albion-fc,2017,Jonathan Leko,M,18,156000,3000
epl,west-bromwich-albion-fc,2017,Jonny Evans,D,29,3380000,65000
epl,west-bromwich-albion-fc,2017,Kane Wilson,D,17,104000,2000
epl,west-bromwich-albion-fc,2017,Kieran Gibbs,D,28,2860000,55000
epl,west-bromwich-albion-fc,2017,Matheus Pereira,F,21,312000,6000
epl,west-bromwich-albion-fc,2017,Matt Phillips,M,26,2080000,40000
epl,west-bromwich-albion-fc,2017,Nacer Chadli,M,28,3120000,60000
epl,west-bromwich-albion-fc,2017,Oliver Burke,F,20,1560000,30000
epl,west-bromwich-albion-fc,2017,Salomón Rondón,F,28,3120000,60000
epl,west-bromwich-albion-fc,2017,Sam Field,M,29,520000,10000
