Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit
1,CG-12545-20201107,2020-11-07,2020-11-11,Second Class,CG-12545,Personal,TEC-COM-10001798,Tech Products,Computer Equipment,98.2094555262871,4,0.5,17.0380950796652
2,CG-12545-20201102,2020-11-02,2020-11-06,Second Class,CG-12545,Personal,TEC-NET-10000454,Tech Products,Networking,1072.6662425988,5,0.1,379.325692746268
3,DV-13070-20200610,2020-06-10,2020-06-14,Second Class,DV-13070,Corporate/Retail,BOO-HOR-10000240,Books,Horror,15.0007959029965,4,0.15,8.36253253128899
4,SO-20360-20191006,2019-10-06,2019-10-10,Low-Cost Shipping,SO-20360,Personal,TEC-MOB-10000577,Tech Products,Mobile Devices,1355.30325241916,7,0.15,-44.30691830673
5,SO-20360-20191008,2019-10-08,2019-10-12,Low-Cost Shipping,SO-20360,Personal,BOO-SCI-10000760,Books,Sci-Fi,3.42667938527527,4,0.1,4.3785922562934
6,BH-11735-20180607,2018-06-07,2018-06-11,Low-Cost Shipping,BH-11735,Personal,TEC-MON-10001487,Tech Products,Monitors,19.0201537196851,6,0.1,5.13507969525072
7,BH-11735-20180604,2018-06-04,2018-06-08,Low-Cost Shipping,BH-11735,Personal,BOO-GRA-10002833,Books,Graphic Novels,6.45074985600327,3,0.15,3.6181733656987
8,BH-11735-20180603,2018-06-03,2018-06-07,Low-Cost Shipping,BH-11735,Personal,STA-MIS-10002275,Stationary,Miscellaneous,4.10178056975587,8,0.5,156.015216211216
9,BH-11735-20180603,2018-06-03,2018-06-07,Low-Cost Shipping,BH-11735,Personal,BOO-MYS-10003910,Books,Mystery,7.25072972483438,5,0.1,4.27762499225853
10,BH-11735-20180606,2018-06-06,2018-06-10,Low-Cost Shipping,BH-11735,Personal,BOO-CLA-10002892,Books,Classics,192.527716148721,4,0.1,11.8820397654739
11,BH-11735-20180603,2018-06-03,2018-06-07,Low-Cost Shipping,BH-11735,Personal,TEC-MOB-10001539,Tech Products,Mobile Devices,79.9884575526576,11,0.1,22.2122234645644
12,BH-11735-20180607,2018-06-07,2018-06-11,Low-Cost Shipping,BH-11735,Personal,STA-MIS-10002033,Stationary,Miscellaneous,1229.51160732667,6,0.1,35.3654095998229
13,AA-10505-20210412,2021-04-12,2021-04-16,Low-Cost Shipping,AA-10505,Personal,BOO-ROM-10002365,Books,Romance,30.2202238218068,2,0.1,7.84136617147656
14,IM-15095-20201129,2020-11-29,2020-12-03,Low-Cost Shipping,IM-15095,Personal,BOO-MYS-10003656,Books,Mystery,616.820621708448,2,0.1,30.7349568572865
15,HP-14840-20191119,2019-11-19,2019-11-23,Low-Cost Shipping,HP-14840,Work from Home,BOO-CLA-10002311,Books,Classics,49.9161884240634,4,0.5,-49.0138610211177
16,HP-14840-20191117,2019-11-17,2019-11-21,Low-Cost Shipping,HP-14840,Work from Home,BOO-MYS-10000756,Books,Mystery,1.56812669121477,2,0.15,-0.766413952963058
17,PK-19100-20181106,2018-11-06,2018-11-10,Low-Cost Shipping,PK-19100,Personal,BOO-SCI-10004186,Books,Sci-Fi,374.437275196639,8,0.5,7.32937176496698
18,AG-10295-20180513,2018-05-13,2018-05-17,Second Class,AG-10295,Personal,BOO-SCI-10000107,Books,Sci-Fi,19.0287141993243,4,0.15,3.06456380671928
19,ZD-21950-20180821,2018-08-21,2018-08-25,Second Class,ZD-21950,Personal,BOO-GRA-10003056,Books,Graphic Novels,16.8591761950727,1,0.5,2.96712521764467
20,ZD-21950-20180822,2018-08-22,2018-08-26,Second Class,ZD-21950,Personal,STA-MIS-10001949,Stationary,Miscellaneous,331.876047027771,2,0,8.4522395074028
21,ZD-21950-20180826,2018-08-26,2018-08-30,Second Class,ZD-21950,Personal,BOO-MYS-10002215,Books,Mystery,25.8992785191488,6,0.1,10.1980711107846
22,KB-16610-20201203,2020-12-03,2020-12-07,Low-Cost Shipping,KB-16610,Corporate/Retail,BOO-GRA-10000246,Books,Graphic Novels,33.4427415545105,6,0.5,3.43768783629194
23,KB-16610-20201208,2020-12-08,2020-12-12,Low-Cost Shipping,KB-16610,Corporate/Retail,BOO-CLA-10001492,Books,Classics,50.4780762516516,9,0,24.6052613098844
24,SF-20090-20210714,2021-07-14,2021-07-18,Second Class,SF-20090,Personal,TEC-NET-10002774,Tech Products,Networking,43.9126497966723,4,0.1,-0.76857661750358
25,EB-13895-20190925,2019-09-25,2019-09-29,Low-Cost Shipping,EB-13895,Personal,TEC-MOB-10000577,Tech Products,Mobile Devices,35.7139906962411,5,0.5,265.422873522312
