Player,Club,Season,Goals,Assists,Combined
Mohamed Salah,Liverpool FC,2017,32,10,42
Harry Kane,Tottenham Hotspur,2017,30,2,32
Raheem Sterling,Manchester City,2017,18,11,29
Sergio Agüero,Manchester City,2017,21,6,27
Leroy Sané,Manchester City,2017,10,15,25
Kevin De Bruyne,Manchester City,2017,8,16,24
Romelu Lukaku,Manchester United,2017,16,7,23
Roberto Firmino,Liverpool FC,2017,15,7,22
Riyad Mahrez,Leicester City,2017,12,10,22
Jamie Vardy,Leicester City,2017,20,1,21
Christian Eriksen,Tottenham Hotspur,2017,10,10,20
David Silva,Manchester City,2017,9,11,20
Dele Alli,Tottenham Hotspur,2017,9,10,19
Alexandre Lacazette,Arsenal FC,2017,14,4,18
Heung-min Son,Tottenham Hotspur,2017,12,6,18
Álvaro Morata,Chelsea FC,2017,11,6,17
Marko Arnautovi?,West Ham United,2017,11,6,17
Sadio Mané,Liverpool FC,2017,10,7,17
Gabriel Jesus,Manchester City,2017,13,3,16
Eden Hazard,Chelsea FC,2017,12,4,16
Paul Pogba,Manchester United,2017,6,10,16
Alexis Sánchez,Manchester United,2017,9,6,15
Xherdan Shaqiri,Stoke City,2017,8,7,15
Pascal Groß,Brighton & Hove Albion,2017,7,8,15
Aaron Ramsey,Arsenal FC,2017,7,8,15
Pierre-Emerick Aubameyang,Arsenal FC,2017,10,4,14
Anthony Martial,Manchester United,2017,9,5,14
Ayoze Pérez,Newcastle United,2017,8,5,13
Jesse Lingard,Manchester United,2017,8,5,13
Philippe Coutinho,Liverpool FC,2017,7,6,13
Willian,Chelsea FC,2017,6,7,13
Glenn Murray,Brighton & Hove Albion,2017,12,0,12
Wayne Rooney,Everton FC,2017,10,2,12
Wilfried Zaha,Crystal Palace,2017,9,3,12
Marcus Rashford,Manchester United,2017,7,5,12
Mesut Özil,Arsenal FC,2017,4,8,12
Henrikh Mkhitaryan,Arsenal FC,2017,3,9,12
Chris Wood,Burnley FC,2017,10,1,11
Luka Milivojevi?,Crystal Palace,2017,10,1,11
Joshua King,AFC Bournemouth,2017,8,3,11
Manuel Lanzini,West Ham United,2017,5,6,11
Oumar Niasse,Everton FC,2017,8,2,10
Callum Wilson,AFC Bournemouth,2017,8,2,10
Abdoulaye Doucouré,Watford FC,2017,7,3,10
Salomón Rondón,West Bromwich Albion,2017,7,3,10
Eric Maxim Choupo-Moting,Stoke City,2017,5,5,10
Dominic Calvert-Lewin,Everton FC,2017,4,6,10
Alex Oxlade-Chamberlain,Liverpool FC,2017,3,7,10
Jóhann Guðmundsson,Burnley FC,2017,2,8,10
Ashley Barnes,Burnley FC,2017,9,0,9
Marcos Alonso,Chelsea FC,2017,7,2,9
Jordan Ayew,Swansea City,2017,7,2,9
Bernardo Silva,Manchester City,2017,6,3,9
Dwight Gayle,Newcastle United,2017,6,3,9
Du?an Tadi?,Southampton FC,2017,6,3,9
Richarlison,Watford FC,2017,5,4,9
Marc Albrighton,Leicester City,2017,2,7,9
Andros Townsend,Crystal Palace,2017,2,7,9
Javier Hernández,West Ham United,2017,8,0,8
Olivier Giroud,Chelsea FC,2017,7,1,8
Jay Rodriguez,West Bromwich Albion,2017,7,1,8
Steve Mounié,Huddersfield Town,2017,7,1,8
Mame Diouf,Stoke City,2017,6,2,8
Shinji Okazaki,Leicester City,2017,6,2,8
Ryan Fraser,AFC Bournemouth,2017,5,3,8
José Izquierdo,Brighton & Hove Albion,2017,5,3,8
Fernandinho,Manchester City,2017,5,3,8
Christian Benteke,Crystal Palace,2017,3,5,8
Alex Iwobi,Arsenal FC,2017,3,5,8
Juan Mata,Manchester United,2017,3,5,8
Matt Ritchie,Newcastle United,2017,3,5,8
Joe Allen,Stoke City,2017,2,6,8
Jordon Ibe,AFC Bournemouth,2017,2,6,8
Ben Davies,Tottenham Hotspur,2017,2,6,8
Cesar Azpilicueta,Chelsea FC,2017,2,6,8
Aaron Cresswell,West Ham United,2017,1,7,8
Granit Xhaka,Arsenal FC,2017,1,7,8
Charlie Austin,Southampton FC,2017,7,0,7
Laurent Depoitre,Huddersfield Town,2017,6,1,7
Troy Deeney,Watford FC,2017,5,2,7
Andre Gray,Watford FC,2017,5,2,7
Nacho Monreal,Arsenal FC,2017,5,2,7
Peter Crouch,Stoke City,2017,5,2,7
Junior Stanislas,AFC Bournemouth,2017,5,2,7
Roberto Pereyra,Watford FC,2017,5,2,7
Danny Welbeck,Arsenal FC,2017,5,2,7
Aaron Mooy,Huddersfield Town,2017,4,3,7
Gylfi Sigurðsson,Everton FC,2017,4,3,7
Emre Can,Liverpool FC,2017,3,4,7
André Ayew,Swansea City,2017,3,4,7
Andrew Surman,AFC Bournemouth,2017,2,5,7
Chris Brunt,West Bromwich Albion,2017,0,7,7
Patrick van Aanholt,Crystal Palace,2017,5,1,6
James McArthur,Crystal Palace,2017,5,1,6
Tammy Abraham,Swansea City,2017,5,1,6
Pedro,Chelsea FC,2017,4,2,6
James Ward-Prowse,Southampton FC,2017,3,3,6
Victor Moses,Chelsea FC,2017,3,3,6
Kelechi Iheanacho,Leicester City,2017,3,3,6
Theo Walcott,Everton FC,2017,3,3,6
Cesc Fàbregas,Chelsea FC,2017,2,4,6
Sead Kola?inac,Arsenal FC,2017,2,4,6
Harry Maguire,Leicester City,2017,2,4,6
Ashley Young,Manchester United,2017,2,4,6
Andrew Robertson,Liverpool FC,2017,1,5,6
Kyle Walker,Manchester City,2017,0,6,6
Cenk Tosun,Everton FC,2017,5,0,5
Manolo Gabbiadini,Southampton FC,2017,5,0,5
Sam Vokes,Burnley FC,2017,4,1,5
Jermain Defoe,AFC Bournemouth,2017,4,1,5
?lkay Gündo?an,Manchester City,2017,4,1,5
Joselu,Newcastle United,2017,4,1,5
Danilo,Manchester City,2017,3,2,5
Nathan Aké,AFC Bournemouth,2017,2,3,5
Will Hughes,Watford FC,2017,2,3,5
Leighton Baines,Everton FC,2017,2,3,5
Héctor Bellerín,Arsenal FC,2017,2,3,5
Cheikhou Kouyaté,West Ham United,2017,2,3,5
Ruben Loftus-Cheek,Crystal Palace,2017,2,3,5
Kieran Trippier,Tottenham Hotspur,2017,0,5,5
Nicolás Otamendi,Manchester City,2017,4,0,4
Chris Smalling,Manchester United,2017,4,0,4
Mark Noble,West Ham United,2017,4,0,4
Marouane Fellaini,Manchester United,2017,4,0,4
Shkodran Mustafi,Arsenal FC,2017,3,1,4
Michail Antonio,West Ham United,2017,3,1,4
Demarai Gray,Leicester City,2017,3,1,4
Anthony Knockaert,Brighton & Hove Albion,2017,3,1,4
Sam Clucas,Swansea City,2017,3,1,4
Antonio Valencia,Manchester United,2017,3,1,4
Tomer Hemed,Brighton & Hove Albion,2017,2,2,4
Christian Atsu,Newcastle United,2017,2,2,4
Serge Aurier,Tottenham Hotspur,2017,2,2,4
Tiemoué Bakayoko,Chelsea FC,2017,2,2,4
Sofiane Boufal,Southampton FC,2017,2,2,4
