move_name,category,move_id,offense_attempted,offense_succeeded,defense_attempted,defense_succeeded,match_id,,,,,,
Guard Pull,Takedown,1,0,0,0,0,M1,,,,,,
Single Leg,Takedown,2,0,0,0,0,M1,,,,,,
Double Leg,Takedown,3,0,0,0,0,M1,,,,,,
Arm Drag,Takedown,4,0,0,0,0,M1,,,,,,
Trip,Takedown,5,0,0,0,0,M1,,,,,,
Lateral throw,Takedown,6,1,0,0,0,M1,,,,,,
Guard,Position,7,0,0,0,0,M1,,,,,,
Half Guard,Position,8,1,1,1,1,M1,,,,,,
Side Control,Position,9,0,0,0,0,M1,,,,,,
Mount,Position,10,0,0,0,0,M1,,,,,,
Back,Position,11,0,0,0,0,M1,,,,,,
Sweep,Transition,12,0,0,0,0,M1,,,,,,
Guard Pass,Transition,13,0,0,0,0,M1,,,,,,
Arm bar,Submission Arm,14,0,0,0,0,M1,,,,,,
Americana,Submission Arm,15,0,0,0,0,M1,,,,,,
Straight Ankle,Leglock,16,0,0,0,0,M1,,,,,,
Kimura,Submission Arm,17,0,0,0,0,M1,,,,,,
Rear Naked,Choke,18,0,0,0,0,M1,,,,,,
Front collar,Choke,19,0,0,0,0,M1,,,,,,
Triangle,Choke,20,0,0,0,0,M1,,,,,,
Arm Triangle,Choke,21,0,0,1,0,M1,,,,,,
Darce,Choke,22,0,0,0,0,M1,,,,,,
Guillotine,Choke,23,0,0,0,0,M1,,,,,,
Other,Choke,24,0,0,0,0,M1,,,,,,
Guard Pull,Takedown,1,0,0,0,1,M2,,,,,,
Single Leg,Takedown,2,0,0,0,0,M2,,,,,,
Double Leg,Takedown,3,0,0,2,0,M2,,,,,,
Arm Drag,Takedown,4,3,0,0,0,M2,,,,,,
Trip,Takedown,5,0,1,0,1,M2,,,,,,
Lateral throw,Takedown,6,0,1,0,0,M2,,,,,,
Guard,Position,7,0,0,0,0,M2,,,,,,
Half Guard,Position,8,0,0,0,0,M2,,,,,,
Side Control,Position,9,1,1,0,0,M2,,,,,,
Mount,Position,10,1,0,0,0,M2,,,,,,
Back,Position,11,0,0,0,0,M2,,,,,,
Sweep,Transition,12,0,0,0,0,M2,,,,,,
Guard Pass,Transition,13,0,0,0,0,M2,,,,,,
Arm bar,Submission Arm,14,0,0,0,0,M2,,,,,,
Americana,Submission Arm,15,0,0,0,0,M2,,,,,,
Straight Ankle,Leglock,16,1,0,0,0,M2,,,,,,
Kimura,Submission Arm,17,0,0,0,0,M2,,,,,,
Rear Naked,Choke,18,0,0,0,0,M2,,,,,,
Front collar,Choke,19,0,0,0,0,M2,,,,,,
Triangle,Choke,20,0,0,0,0,M2,,,,,,
Arm Triangle,Choke,21,0,0,0,0,M2,,,,,,
Darce,Choke,22,0,0,0,0,M2,,,,,,
Guillotine,Choke,23,0,0,0,0,M2,,,,,,
Other,Choke,24,0,0,0,0,M2,,,,,,
Guard Pull,Takedown,1,0,0,0,0,M3,,,,,,
Single Leg,Takedown,2,0,0,0,0,M3,,,,,,
Double Leg,Takedown,3,0,0,0,0,M3,,,,,,
Arm Drag,Takedown,4,0,0,0,0,M3,,,,,,
Trip,Takedown,5,0,1,0,0,M3,,,,,,
Lateral throw,Takedown,6,0,0,0,0,M3,,,,,,
Guard,Position,7,0,0,0,0,M3,,,,,,
Half Guard,Position,8,0,1,0,0,M3,,,,,,
