Port Name,Date,Month,Vehicle Type,Number of People,Port ID
Andrade,2020-02-01,February,Pedestrians,115655,1
Andrade,2020-02-01,February,Personal Vehicle Passengers,82972,1
Andrade,2020-02-01,February,Personal Vehicles,44277,1
Andrade,2020-01-01,January,Pedestrians,113254,1
Andrade,2020-01-01,January,Personal Vehicle Passengers,87090,1
Andrade,2020-01-01,January,Personal Vehicles,46520,1
Andrade,2019-12-01,December,Pedestrians,85352,1
Andrade,2019-12-01,December,Personal Vehicle Passengers,90723,1
Andrade,2019-12-01,December,Personal Vehicles,47263,1
Andrade,2019-11-01,November,Pedestrians,86605,1
Andrade,2019-11-01,November,Personal Vehicle Passengers,90726,1
Andrade,2019-11-01,November,Personal Vehicles,47592,1
Andrade,2019-10-01,October,Pedestrians,67766,1
Andrade,2019-10-01,October,Personal Vehicle Passengers,93913,1
Andrade,2019-10-01,October,Personal Vehicles,49823,1
Andrade,2019-09-01,September,Pedestrians,47570,1
Andrade,2019-09-01,September,Personal Vehicle Passengers,90251,1
Andrade,2019-09-01,September,Personal Vehicles,47616,1
Andrade,2019-08-01,August,Pedestrians,40633,1
Andrade,2019-08-01,August,Personal Vehicle Passengers,88248,1
Andrade,2019-08-01,August,Personal Vehicles,45992,1
Andrade,2019-07-01,July,Pedestrians,40756,1
Andrade,2019-07-01,July,Personal Vehicle Passengers,91452,1
Andrade,2019-07-01,July,Personal Vehicles,46539,1
Andrade,2019-06-01,June,Pedestrians,45775,1
Andrade,2019-06-01,June,Personal Vehicle Passengers,97368,1
Andrade,2019-06-01,June,Personal Vehicles,49732,1
Andrade,2019-05-01,May,Personal Vehicles,51720,1
Andrade,2019-05-01,May,Personal Vehicle Passengers,100139,1
Andrade,2019-05-01,May,Pedestrians,58585,1
Andrade,2019-04-01,April,Personal Vehicles,50479,1
Andrade,2019-04-01,April,Personal Vehicle Passengers,97548,1
Andrade,2019-04-01,April,Pedestrians,75023,1
Andrade,2019-03-01,March,Personal Vehicles,50180,1
Andrade,2019-03-01,March,Pedestrians,95326,1
Andrade,2019-03-01,March,Personal Vehicle Passengers,98065,1
Andrade,2019-02-01,February,Personal Vehicle Passengers,86294,1
Andrade,2019-02-01,February,Personal Vehicles,44419,1
Andrade,2019-02-01,February,Pedestrians,106417,1
Andrade,2019-01-01,January,Pedestrians,107916,1
Andrade,2019-01-01,January,Personal Vehicles,48673,1
Andrade,2019-01-01,January,Personal Vehicle Passengers,95295,1
Andrade,2018-12-01,December,Personal Vehicle Passengers,94775,1
Andrade,2018-12-01,December,Personal Vehicles,48244,1
Andrade,2018-12-01,December,Pedestrians,83491,1
Andrade,2018-11-01,November,Pedestrians,88621,1
Andrade,2018-11-01,November,Personal Vehicles,47894,1
Andrade,2018-11-01,November,Personal Vehicle Passengers,92999,1
